Country,2016,2015,2010,2000
Afghanistan,6.4,6.6,7.4,8.1
Albania,5.6,5.3,7.7,5.8
Algeria,3.3,3.4,3.5,4.7
Angola,8.9,9.3,10.4,13.9
Antigua and Barbuda,0.5,0.8,0.2,2.1
Argentina,9.1,8.7,8.6,9.5
Armenia,5.7,6,5.4,3.2
Australia,11.7,12.2,11,12.2
Austria,11.4,11.5,12.2,16
Azerbaijan,2.6,2.7,3,2.4
Bahamas,1.6,1.6,1.9,2.2
Bahrain,5.7,5.7,5.3,7.3
Bangladesh,6.1,6.3,6.6,7
Barbados,0.4,0.4,1.6,2.1
Belarus,21.4,21.2,31.9,38.7
Belgium,15.7,15.2,16.8,18.8
Belize,5.9,6.1,6.5,7.4
Benin,15.7,15.7,15.5,15.6
Bhutan,11.6,11.9,12.2,16.3
Bolivia,12.9,13.1,15.2,18.5
Bosnia and Herzegovina,6.4,6.6,6.3,9.7
Botswana,11.5,12,13.8,15.3
Brazil,6.1,6.2,5.7,5.3
Brunei Darussalam,4.5,4.5,4,3.7
Bulgaria,7.9,7.9,8.6,14.3
Burkina Faso,14.8,14.8,14.5,15.6
Burundi,15,14.8,14.9,12.9
Cape Verde,15.1,15,15.8,15.5
Cambodia,5.9,5.9,6.3,7.3
Cameroon,19.5,19.6,18.7,21.3
Canada,10.4,10.5,11.1,11.6
Central African Republic,11.6,12.1,13.7,12.8
Chad,15.5,15.7,16.3,15
Chile,9.7,10,11.6,11.1
China,8,8.1,10,14.1
Colombia,7,8.1,7.1,8
Comoros,11.1,11.1,11,8.8
Republic of Congo,9.3,9.5,11.1,14.6
Costa Rica,7.5,7.5,8.4,7.7
C̫te d'Ivoire,23,22.8,20.7,16.5
Croatia,11.5,12.3,13.3,16.8
Cuba,10.1,10,11.4,15.8
Cyprus,4.5,4.3,4.9,2.1
Czech Republic,10.5,10.6,12.3,14.1
North Korea,10.6,10.8,11.6,10.2
Democratic Republic of the Congo,9.7,9.5,9.5,10.9
Denmark,9.2,8.6,9.3,12.7
Djibouti,8.5,8.2,7.2,8.6
Dominican Republic,10.5,10.2,9,10.9
Ecuador,7.2,9.7,8.7,6.3
Egypt,4.4,4.2,4,3.9
El Salvador,13.5,13.9,11.3,14.8
Equatorial Guinea,22,22,22.2,21.2
Eritrea,13.8,14.1,15,18.9
Estonia,14.4,13.3,14.9,25.4
Eswatini,16.7,16.5,15.5,16.6
Ethiopia,11.4,11.5,12,13.7
Fiji,5.5,5.6,5.2,4.9
Finland,13.8,12.4,16.6,21.6
France,12.1,12.5,14.8,16.9
Gabon,9.6,9.9,9.2,8.9
Gambia,10,10.1,10,12.3
Georgia,6.7,6.7,5.8,5.4
Germany,9.1,9.3,9.8,11.4
Ghana,8.7,8.6,7.8,7.2
Greece,3.8,3.6,2.6,2.9
Grenada,1.7,1.1,0.9,2.7
Guatemala,2.9,3.4,3.3,3.9
Guinea,10.5,10.7,11.2,10.6
Guinea-Bissau,7.4,7.3,7.9,9.2
Guyana,30.2,30.3,29.3,26.7
Haiti,12.2,12.2,10.9,10.3
Honduras,3.4,3.3,3.1,3.3
Hungary,13.6,14.7,19.5,26.1
Iceland,13.3,12.9,12.3,16
India,16.5,16.7,17.1,18.7
Indonesia,3.7,3.7,4,4.3
Iran,4,4,5.9,10.7
Iraq,4.1,4.1,3.8,3.8
Ireland,10.9,10.8,11.3,11.8
Israel,5.2,4.8,7.2,7.4
Italy,5.5,5.3,5.2,5.8
Jamaica,2,2,2,2.5
Japan,14.3,15.1,19,18.8
Jordan,3.7,3.7,3.7,4.8
Kazakhstan,22.8,25.2,32,34.9
Kenya,5.6,5.5,5.7,8.2
Kiribati,15.2,15.3,15.3,15.6
Kuwait,2.2,2.2,1.5,1.6
Kyrgyzstan,9.1,8.8,11.9,15.4
Laos,9.3,9.3,9.9,12.4
Latvia,17.2,17.3,18.8,29.7
Lebanon,3.2,3.3,3.2,3.2
Lesotho,28.9,28.5,27.6,26.8
Liberia,13.4,12.9,13.2,11.2
Libya,5.5,4.6,5.8,6.2
Lithuania,25.7,28.8,31.3,46.3
Luxembourg,10.4,11.6,10.3,14.1
Madagascar,6.9,7,7.7,8.5
Malawi,7.8,7.6,8.1,11.9
Malaysia,6.2,6.1,6.3,7.4
Maldives,2.7,3,3.7,6.5
Mali,8.9,8.9,8.7,9
Malta,6.5,7,7,5.7
Mauritania,7.5,7.4,6.8,6.2
Mauritius,7.3,8.1,7.7,10.8
Mexico,5.2,5.6,4.8,4
Federated States of Micronesia,11.3,11.6,11.6,12.6
Mongolia,13.3,13.4,16.1,19.7
Montenegro,7.9,7.7,8.3,9.4
Morocco,3.1,3.1,4.1,8.2
Mozambique,8.4,8.5,9.5,14.2
Myanmar,8.1,8,7.9,7.9
Namibia,11.5,11.8,13.5,14.5
Nepal,9.6,10.1,12.2,18
Netherlands,9.6,9.7,8.2,8.3
New Zealand,11.6,11.6,12.2,12.7
Nicaragua,11.9,11.9,12.4,18.3
Niger,9,9.1,9.4,8.8
Nigeria,17.3,17.5,18.2,18.5
Norway,10.1,10.2,10.6,12
Oman,3.5,3.6,3.5,4.8
Pakistan,3.1,3.1,3.3,4
Panama,4.4,4,5.3,6.6
Papua New Guinea,7,7,6.4,8.4
Paraguay,9.3,9.6,9.3,11
Peru,5.1,5.1,4.9,6
Philippines,3.7,3.8,4,3.1
Poland,13.4,13.1,15.5,15.2
Portugal,8.6,8.6,8.8,5.3
Qatar,5.8,5.7,5.1,3.8
Republic of Korea,20.2,21.4,28.1,14.2
Moldova,13.4,14,18,15.6
Macedonia,6.2,6.2,4.9,7.1
Romania,8,9.1,11.5,11.7
Russian Federation,26.5,27.5,34.5,47.5
Rwanda,11,11.2,12.5,24.6
Saint Lucia,7.3,7.3,6.1,7.4
Saint Vincent and the Grenadines,2.4,2.7,3.2,7.2
Samoa,5.4,5.5,6.4,10.7
Sao Tome and Principe,3.1,3.1,2.8,2.7
Saudi Arabia,3.4,3.4,3.8,3.4
Senegal,11.8,12.1,13.1,14
Serbia,10.9,10.6,11.3,16.8
Seychelles,8.3,8.5,9,9.4
Sierra Leone,16.1,15.7,16,19.2
Singapore,7.9,7.6,8.4,11.7
Slovakia,10.1,10.1,11.4,12.8
Slovenia,13.3,14.8,15.5,26
Solomon Islands,5.9,6.1,7.1,12.7
Somalia,8.3,8.3,7.6,8.2
South Africa,12.8,13.1,13.9,14.4
South Sudan,6.1,6,6.7,8
Spain,6.1,5.7,5.1,6.5
Sri Lanka,14.2,14.5,19.2,30.3
Sudan,9.5,9.5,9.5,9.5
Suriname,23.2,24.4,28.3,26.4
Sweden,11.7,12.3,12,12.2
Switzerland,11.3,11.4,11.3,16.8
Syrian Arab Republic,2.4,2.4,2.4,1.8
Tajikistan,3.3,3.4,3.4,4.2
Thailand,12.9,13.1,13,15.9
Timor-Leste,6.4,6.4,7.6,13.6
Togo,16.6,16.3,16.9,17.2
Tonga,4,4,4.3,4.5
Trinidad and Tobago,12.9,12.8,13.5,15.2
Tunisia,3.2,3.3,3.6,3.8
Turkey,7.2,7.2,8.1,7.3
Turkmenistan,7.2,7.5,7.7,9.9
Uganda,20,20.2,21.8,22.8
Ukraine,18.5,19,22.6,32
United Arab Emirates,2.7,2.7,2.8,3.4
United Kingdom,7.6,7.6,6.9,8.1
United Republic of Tanzania,9.6,9.5,9.3,11.8
United States of America,13.7,13.3,11.8,10.1
Uruguay,16.5,17.4,14.9,15.9
Uzbekistan,7.4,7.4,6,9.1
Vanuatu,5.4,5.5,6.2,8.7
Venezuela,3.8,3.9,4.5,9.1
Vietnam,7,7,7.1,7.5
Yemen,9.8,9.9,10.6,9.1
Zambia,11.3,11.2,11.5,14.1
Zimbabwe,19.1,18.9,20.6,21.7
