Country,Sex,2016,2015,2010,2000
Afghanistan, Female,2.1,2.1,2.1,1.7
Albania, Female,4.3,4,6,3.6
Algeria, Female,1.8,1.8,1.9,2.8
Angola, Female,4.6,4.7,5.1,7.2
Antigua and Barbuda, Female,0.9,1.6,0,0.1
Argentina, Female,3.5,3.4,3.2,3.6
Armenia, Female,2,2.2,1.9,1.2
Australia, Female,6,6.2,5.3,5.4
Austria, Female,5.7,5.3,5.4,7.9
Azerbaijan, Female,1,1,1.2,1
Bahamas, Female,0.5,0.5,0.6,0.7
Bahrain, Female,2.1,2.2,2.6,3.5
Bangladesh, Female,6.7,7.2,8.4,7.9
Barbados, Female,0.3,0.3,0.6,0.5
Belarus, Female,6.2,6.1,9.6,11
Belgium, Female,9.4,8.9,9.8,10.6
Belize, Female,2,2.1,2.3,2.4
Benin, Female,9.6,9.6,9.8,9.9
Bhutan, Female,8.9,9.2,9.5,12.6
Bolivia, Female,8.9,9.2,11,13.8
Bosnia and Herzegovina, Female,2.5,2.6,2.4,3.8
Botswana, Female,5.7,5.9,6.8,5.9
Brazil, Female,2.8,2.9,2.8,2.2
Brunei Darussalam, Female,2.8,2.8,2.3,2.2
Bulgaria, Female,3.2,3.2,3.7,7.2
Burkina Faso, Female,9.1,9,8.4,8.5
Burundi, Female,7.7,7.7,8.3,8.5
Cape Verde, Female,7.7,7.7,8.8,8.9
Cambodia, Female,3.2,3.2,3.6,4.5
Cameroon, Female,12.5,12.4,11.9,14.6
Canada, Female,5.8,5.8,5.9,5.4
Central African Republic, Female,6,6.4,7.3,7
Chad, Female,13.8,14.2,15.9,14.5
Chile, Female,3.8,4.1,4.5,3.1
China, Female,8.3,8.5,11,15.6
Colombia, Female,2.8,3.3,2.6,3.4
Comoros, Female,5.4,5.4,5.3,4.6
Republic of Congo, Female,5,5.3,6.5,8.7
Costa Rica, Female,2.3,2.3,2.4,1.8
C̫te d'Ivoire, Female,13,12.9,11.4,9.1
Croatia, Female,5.1,5.9,6,7.1
Cuba, Female,4.1,4,4.8,9.1
Cyprus, Female,1.9,2.2,2.3,1.5
Czech Republic, Female,4.2,4,4,5.3
North Korea, Female,8,8.2,9,7.7
Democratic Republic of the Congo, Female,4.9,4.8,4.8,6.1
Denmark, Female,5.2,5.4,5.5,6.5
Djibouti, Female,5.3,5.1,4.7,6.1
Dominican Republic, Female,3.2,3.2,3.2,3.8
Ecuador, Female,3.8,4.9,4.7,3.7
Egypt, Female,1.7,1.7,1.6,1.5
El Salvador, Female,4.3,4.4,4.1,6.6
Equatorial Guinea, Female,10.8,10.7,9.7,8.4
Eritrea, Female,6.1,6.3,7,10.4
Estonia, Female,4.4,3.8,4.5,9.7
Eswatini, Female,9.6,9.4,8.1,8.9
Ethiopia, Female,4.7,4.8,5.4,6.6
Fiji, Female,2.5,2.5,2.5,3.1
Finland, Female,6.8,5.7,8,10.7
France, Female,6.5,6.7,8.1,9.3
Gabon, Female,4.3,4.4,4.1,4.5
Gambia, Female,7.3,7.4,7.3,10.1
Georgia, Female,1.9,1.9,1.6,1.8
Germany, Female,4.8,4.9,4.6,5.4
Ghana, Female,2.9,2.9,2.9,2.9
Greece, Female,1.5,1.5,0.6,1.2
Grenada, Female,1,0.6,0,1.5
Guatemala, Female,1.7,1.9,1.4,1.6
Guinea, Female,8.4,8.7,8.7,9.1
Guinea-Bissau, Female,6.1,6,6.4,7.9
Guyana, Female,14.2,14.3,14.1,12.8
Haiti, Female,6.4,6.4,5.7,4.8
Honduras, Female,1.7,1.6,1.6,1.7
Hungary, Female,6.2,6.6,7.8,10.6
Iceland, Female,4.7,4.8,5.6,6.4
India, Female,14.5,14.7,15.1,16.1
Indonesia, Female,2.2,2.2,2.4,2.7
Iran, Female,3.1,3,3.9,8.8
Iraq, Female,3.4,3.4,2.9,2.7
Ireland, Female,4.2,4.2,5,4.4
Israel, Female,2.4,2.1,2.5,3
Italy, Female,2.6,2.5,2.3,2.8
Jamaica, Female,0.9,0.9,0.9,0.8
Japan, Female,8.1,8.6,10.4,9.9
Jordan, Female,2.7,2.7,2.7,3.7
Kazakhstan, Female,7.7,8.5,10.7,10.4
Kenya, Female,2.1,2.1,2.3,3.6
Kiribati, Female,5.4,5.5,5.8,6.5
Kuwait, Female,1.7,1.7,1.1,1.4
Kyrgyzstan, Female,3.7,3.5,4.4,5.4
Laos, Female,6.1,6.1,6.6,8.2
Latvia, Female,5.1,5.3,4.2,9.5
Lebanon, Female,2.2,2.3,2.4,2.1
Lesotho, Female,32.6,32.1,31,30.2
Liberia, Female,13,12.6,12.7,9.5
Libya, Female,2.3,2.1,2.4,3
Lithuania, Female,6.7,8.9,9.5,15.6
Luxembourg, Female,5.8,5.7,5.2,8.2
Madagascar, Female,3.6,3.7,4.2,5
Malawi, Female,3.2,3.2,3.2,4.7
Malaysia, Female,3.6,3.6,3.6,4.4
Maldives, Female,1.6,1.8,2.4,5.1
Mali, Female,4.7,4.8,4.6,5
Malta, Female,2.8,3.2,1.6,2.4
Mauritania, Female,3.6,3.5,3.2,3
Mauritius, Female,2.2,4.3,3.5,4.5
Mexico, Female,2.3,2.4,1.9,1.2
Federated States of Micronesia, Female,6.2,6.4,6.8,8.3
Mongolia, Female,3.8,3.9,4.8,8.2
Montenegro, Female,3.6,3.5,4.1,5.6
Morocco, Female,3.6,3.7,5,9.5
Mozambique, Female,4.1,4.2,4.9,7.3
Myanmar, Female,9.8,9.6,9.4,10.7
Namibia, Female,4.9,5.1,5.7,5.9
Nepal, Female,8,8.5,11,15.5
Netherlands, Female,6.4,6.4,4.8,5.3
New Zealand, Female,6.2,6.2,6.9,4.5
Nicaragua, Female,5,5.1,5.5,8
Niger, Female,6.7,6.7,7.2,7
Nigeria, Female,17.1,17.6,20.1,20.6
Norway, Female,6.5,7,6.5,6
Oman, Female,0.9,1,1,1.6
Pakistan, Female,3.1,3.2,3.5,4.4
Panama, Female,1.2,1.4,1.5,1.6
Papua New Guinea, Female,3.8,3.8,3.7,5
Paraguay, Female,6.2,6.3,6,6.4
Peru, Female,2.7,2.7,2.5,3.3
Philippines, Female,2.3,2.3,2.3,1.8
Poland, Female,3.4,3.3,3.7,4.7
Portugal, Female,3.8,3.8,4.2,2.1
Qatar, Female,1.1,1.1,1.1,1.4
Republic of Korea, Female,11.6,12.5,18.7,8.5
Moldova, Female,3.8,4.5,5.1,4.1
Macedonia, Female,3,3,2.6,4.1
Romania, Female,2.4,2.5,3.7,3.8
Russian Federation, Female,7.5,7.9,10.2,13.7
Rwanda, Female,6,6.2,7.2,19.4
Saint Lucia, Female,2.1,2.1,1.6,2.4
Saint Vincent and the Grenadines, Female,0.9,1.1,0.6,0.9
Samoa, Female,2.2,2.2,2.6,4.6
Sao Tome and Principe, Female,2.1,2.1,1.9,1.7
Saudi Arabia, Female,1.7,1.7,1.7,1.4
Senegal, Female,5.2,5.4,6.2,6.8
Serbia, Female,5.2,5.2,5.2,9.1
Seychelles, Female,2.1,2.1,2.2,2.5
Sierra Leone, Female,14.2,13.9,14.3,16.6
Singapore, Female,4.9,5.2,6,8.1
Slovakia, Female,2.6,2.6,3.1,4.4
Slovenia, Female,4.5,5.8,5.1,13.2
Solomon Islands, Female,3.2,3.4,4.2,8.4
Somalia, Female,5.4,5.4,5.2,5.6
South Africa, Female,5.1,5.3,6.1,7.1
South Sudan, Female,4.1,4,4.5,5.3
Spain, Female,3.1,3,2.2,3
Sri Lanka, Female,6.2,6.1,8.4,13.5
Sudan, Female,4.6,4.5,4.6,4.4
Suriname, Female,10.9,11.4,13.3,11.6
Sweden, Female,7.4,7.7,6.8,7.7
Switzerland, Female,6.9,6.9,7,9.4
Syrian Arab Republic, Female,1.1,1.1,1.1,0.8
Tajikistan, Female,1.7,1.8,1.8,2.2
Thailand, Female,4.8,4.9,5.5,8.3
Timor-Leste, Female,3.7,3.8,4.7,8.3
Togo, Female,10.9,10.7,11.2,11.8
Tonga, Female,2.9,2.9,3.1,3.9
Trinidad and Tobago, Female,4.3,4.4,5.4,6.4
Tunisia, Female,2.2,2.2,2.3,2.3
Turkey, Female,3.2,3.3,3.8,2.9
Turkmenistan, Female,3.7,3.8,3.6,4
Uganda, Female,18.7,19.2,22,23.9
Ukraine, Female,4.7,5.1,6.4,9.5
United Arab Emirates, Female,0.8,0.8,0.9,1.5
United Kingdom, Female,3.5,3.7,3.2,3.8
United Republic of Tanzania, Female,5.4,5.3,5.2,6.4
United States of America, Female,6.4,6.3,5.2,4.1
Uruguay, Female,7.1,7,6.7,5.5
Uzbekistan, Female,4.6,4.5,3.3,4.5
Vanuatu, Female,2.7,2.7,3.2,5.1
Venezuela, Female,1.2,1.2,1.5,2.4
Vietnam, Female,3.4,3.5,3.5,3.9
Yemen, Female,6.2,6.3,6.6,5.5
Zambia, Female,6.2,6.1,6.2,7.5
Zimbabwe, Female,11.1,11.1,11.1,9.8
